when                ,total_error ,average_error ,avg_runtime ,multithreaded ,cannyify_image ,thin_image ,refined_votes ,n_average_segment_tips ,trim_segment_edges ,manysegs_average_segments ,use_average_theta ,faster_nearest_idx
2024-04-21 11:03:49 ,       0.83 ,         0.08 ,      18.60 ,True          ,True           ,False      ,False         ,                     1 ,                 0 ,True                      ,False             ,False
2024-04-21 16:00:23 ,       0.51 ,         0.05 ,       3.07 ,True          ,False          ,True       ,False         ,                     1 ,                 0 ,True                      ,False             ,True
2024-04-21 16:49:09 ,       3.05 ,         0.31 ,       6.20 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,True                      ,True              ,True
2024-04-21 16:49:21 ,       4.11 ,         0.41 ,       9.15 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,True                      ,True              ,False
2024-04-21 16:49:28 ,       2.77 ,         0.28 ,       6.69 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,True                      ,False             ,True
2024-04-21 16:49:40 ,       2.71 ,         0.27 ,       9.62 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,True                      ,False             ,False
2024-04-21 16:49:47 ,       3.05 ,         0.31 ,       5.88 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,False                     ,True              ,True
2024-04-21 16:49:58 ,       4.11 ,         0.41 ,       9.15 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,False                     ,True              ,False
2024-04-21 16:50:05 ,       3.71 ,         0.37 ,       5.95 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,False                     ,False             ,True
2024-04-21 16:50:16 ,       3.52 ,         0.35 ,       9.17 ,True          ,True           ,False      ,True          ,                     1 ,                 0 ,False                     ,False             ,False
2024-04-21 16:50:24 ,       3.05 ,         0.31 ,       6.55 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,True                      ,True              ,True
2024-04-21 16:50:35 ,       4.11 ,         0.41 ,       9.11 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,True                      ,True              ,False
2024-04-21 16:50:42 ,       2.77 ,         0.28 ,       6.07 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,True                      ,False             ,True
2024-04-21 16:50:53 ,       2.71 ,         0.27 ,       9.16 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,True                      ,False             ,False
2024-04-21 16:51:00 ,       3.05 ,         0.31 ,       6.07 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,False                     ,True              ,True
2024-04-21 16:51:11 ,       4.11 ,         0.41 ,       9.16 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,False                     ,True              ,False
2024-04-21 16:51:18 ,       2.86 ,         0.29 ,       6.12 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,False                     ,False             ,True
2024-04-21 16:51:29 ,       2.66 ,         0.27 ,       9.26 ,True          ,True           ,False      ,True          ,                     1 ,                 5 ,False                     ,False             ,False
2024-04-21 16:51:36 ,       3.05 ,         0.31 ,       5.97 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,True                      ,True              ,True
2024-04-21 16:51:47 ,       4.11 ,         0.41 ,       9.14 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,True                      ,True              ,False
2024-04-21 16:51:55 ,       2.77 ,         0.28 ,       6.06 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,True                      ,False             ,True
2024-04-21 16:52:06 ,       2.71 ,         0.27 ,       9.06 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,True                      ,False             ,False
2024-04-21 16:52:13 ,       3.05 ,         0.31 ,       5.99 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,False                     ,True              ,True
2024-04-21 16:52:24 ,       4.11 ,         0.41 ,       9.25 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,False                     ,True              ,False
2024-04-21 16:52:32 ,       3.54 ,         0.35 ,       6.08 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,False                     ,False             ,True
2024-04-21 16:52:43 ,       3.35 ,         0.33 ,       9.24 ,True          ,True           ,False      ,True          ,                     5 ,                 0 ,False                     ,False             ,False
2024-04-21 16:52:50 ,       3.05 ,         0.31 ,       6.07 ,True          ,True           ,False      ,True          ,                     5 ,                 5 ,True                      ,True              ,True
