when,param_set,octave_layers,ssd_threshold,R,distance_threshold,iterations,min_inliers,accuracy,tpr,fpr,fnr
2024-04-21 18:35:50,,5,5,0.4,2,200,4,34.6,70.5,68.68599033816426,0.0
2024-04-21 19:43:07,,5,5,0.4,2,200,5,75.8,71.25,23.72705314009662,0.0
2024-04-21 19:59:25,,5,5,0.4,2,200,6,95.9,76.0,2.193236714975845,0.0
2024-04-21 18:51:15,,5,5,0.4,2,200,7,97.0,66.0,0.0,0.0
2024-04-21 20:15:11,,5,5,0.4,2,200,8,96.3,57.75,0.0,0.0
2024-04-21 19:06:48,,5,5,0.4,2,200,9,95.2,44.75,0.0,25.0
2024-04-21 19:22:50,,5,5,0.4,2,200,11,94.2,32.75,0.0,25.0
2024-04-21 22:18:47,,5,5,0.4,1,50,7,94.3,34.25,0.0,0.0
2024-04-21 21:55:47,,5,5,0.4,2,50,7,96.3,57.25,0.0,0.0
2024-04-21 22:39:14,,5,5,0.4,3,50,7,96.1,56.25,0.10869565217391304,0.0
2024-04-21 22:54:51,,5,5,0.4,5,50,7,96.2,58.75,0.21980676328502416,0.0
2024-04-21 23:10:17,,5,5,0.4,10,50,7,95.9,61.0,0.7681159420289856,0.0
2024-04-21 23:25:40,,5,5,0.4,15,50,7,94.3,52.75,1.751207729468599,75.0
2024-04-22 08:38:06,,5,4,0.2,2.5,50,7,95.3,45.5,0.0,0.0
